MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,release_year,DIRECTOR,ACTORS,combined_features
Monster: The Jeffrey Dahmer Story,(2022– ),biography crime drama,0.0,Story of the Milwaukee Monster told from the perspective of the victims and police incompetency that allowed the Wisconsin native to go on a multiyear killing spree.,"Stars: Evan Peters, Karen Malina White, David Barrera, Shaun J. Brown",0,0,0.0,2022,,Evan Peters Karen Malina White David Barrera Shaun J. Brown,monster: the jeffrey dahmer story biography crime drama story of the milwaukee monster told from the perspective of the victims and police incompetency that allowed the wisconsin native to go on a multiyear killing spree. evan peters karen malina white david barrera shaun j. brown
Irreplaceable You,(2018),comedy drama romance,6.4,A couple who have known each other since 8 are destined to be together until death do them apart.,"Director: Stephanie Laing | Stars: Gugu Mbatha-Raw, Michiel Huisman, Steve Coogan, Timothy Simons",8778,96,0.0,2018,Stephanie Laing,Gugu Mbatha-Raw Michiel Huisman Steve Coogan Timothy Simons,irreplaceable you comedy drama romance a couple who have known each other since 8 are destined to be together until death do them apart. stephanie laing gugu mbatha-raw michiel huisman steve coogan timothy simons
Cocaine Cowboys: The Kings of Miami,(2021),documentary crime history,0.0,Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime saga that spanned decades.,,0,0,0.0,2021,,,cocaine cowboys: the kings of miami documentary crime history two childhood friends go from high school dropouts to the most powerful drug kingpins in miami in this true story of a crime saga that spanned decades.
Chef's Table,(2015–2019),documentary,8.5,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.","Stars: Dan Barber, Massimo Bottura, Bill Buford, Lara Gilmore",14082,50,0.0,2015,,Dan Barber Massimo Bottura Bill Buford Lara Gilmore,"chef's table documentary chef's table goes inside the lives and kitchens of six of the world's most renowned international chefs. each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven. dan barber massimo bottura bill buford lara gilmore"
Kal Hee,(1991),animation drama romance,7.6,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,"Director: Isao Takahata | Stars: Miki Imai, Toshirô Yanagiba, Yoko Honna, Mayumi Izuka",28969,118,450000.0,1991,Isao Takahata,Miki Imai Toshirô Yanagiba Yoko Honna Mayumi Izuka,kal hee animation drama romance a twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in tokyo. isao takahata miki imai toshirô yanagiba yoko honna mayumi izuka
First They Killed My Father,(2017),biography drama history,7.2,Cambodian author and human rights activist Loung Ung recounts the horrors she suffered as a child under the rule of the deadly Khmer Rouge.,"Director: Angelina Jolie | Stars: Sareum Srey Moch, Phoeung Kompheak, Sveng Socheata, Mun Kimhak",16871,136,0.0,2017,Angelina Jolie,Sareum Srey Moch Phoeung Kompheak Sveng Socheata Mun Kimhak,first they killed my father biography drama history cambodian author and human rights activist loung ung recounts the horrors she suffered as a child under the rule of the deadly khmer rouge. angelina jolie sareum srey moch phoeung kompheak sveng socheata mun kimhak
Hot Girls Wanted: Turned On,(2017),documentary,6.6,"Porn has gone mainstream; the question is, can we handle it? This exploration of the intersection of sex and technology is told through the stories of the people whose lives are defined by ... See full summary »","Stars: James Rhine, Lena Anderson, James Bartholet, Lily Cade",2061,280,0.0,2017,,James Rhine Lena Anderson James Bartholet Lily Cade,"hot girls wanted: turned on documentary porn has gone mainstream; the question is, can we handle it? this exploration of the intersection of sex and technology is told through the stories of the people whose lives are defined by ... see full summary » james rhine lena anderson james bartholet lily cade"
Le chant du loup,(2019),action adventure sci-fi,6.9,"In the near future, a French submarine finds itself in a crisis situation.","Director: Antonin Baudry | Stars: François Civil, Omar Sy, Mathieu Kassovitz, Reda Kateb",15211,115,0.0,2019,Antonin Baudry,François Civil Omar Sy Mathieu Kassovitz Reda Kateb,"le chant du loup action adventure sci-fi in the near future, a french submarine finds itself in a crisis situation. antonin baudry françois civil omar sy mathieu kassovitz reda kateb"
Extracurricular,(2020),crime drama,7.7,A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret.,"Stars: Kim Dong-Hee, Park Joo-Hyun, Da-bin Jung, Nam Yoon-Su",3538,50,0.0,2020,,Kim Dong-Hee Park Joo-Hyun Da-bin Jung Nam Yoon-Su,extracurricular crime drama a model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret. kim dong-hee park joo-hyun da-bin jung nam yoon-su
Hasta el cielo,(2020),action adventure crime,5.6,A commentary on Spanish society dressed as a thriller about the misadventures of a gang of young petty criminals after the real estate crash.,"Director: Daniel Calparsoro | Stars: Miguel Herrán, Carolina Yuste, Asia Ortega, Luis Tosar",2880,121,0.0,2020,Daniel Calparsoro,Miguel Herrán Carolina Yuste Asia Ortega Luis Tosar,hasta el cielo action adventure crime a commentary on spanish society dressed as a thriller about the misadventures of a gang of young petty criminals after the real estate crash. daniel calparsoro miguel herrán carolina yuste asia ortega luis tosar
True Memoirs of an International Assassin,(2016),action comedy crime,5.9,"After a publisher changes a writer's debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own survival.","Director: Jeff Wadlow | Stars: Kevin James, Kim Coates, Maurice Compte, Zulay Henao",21442,98,0.0,2016,Jeff Wadlow,Kevin James Kim Coates Maurice Compte Zulay Henao,"true memoirs of an international assassin action comedy crime after a publisher changes a writer's debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own survival. jeff wadlow kevin james kim coates maurice compte zulay henao"
Carmen Sandiego,(2019–2021),animation action adventure,7.9,"The adventures of Carmen Sandiego, a globe-hopping master thief.","Stars: Finn Wolfhard, Gina Rodriguez, Liam O'Brien, Abby Trott",4796,22,0.0,2019,,Finn Wolfhard Gina Rodriguez Liam O'Brien Abby Trott,"carmen sandiego animation action adventure the adventures of carmen sandiego, a globe-hopping master thief. finn wolfhard gina rodriguez liam o'brien abby trott"
Plus/Minus,,drama fantasy,0.0,"Tells the story of Natalie, whose life, on the eve of her college graduation, diverges into two parallel realities: one in which she becomes pregnant and must navigate motherhood as a young... See full summary »","Director: Wanuri Kahiu | Stars: Luke Wilson, Lili Reinhart, Nia Long, Andrea Savage",0,0,0.0,0,Wanuri Kahiu,Luke Wilson Lili Reinhart Nia Long Andrea Savage,"plus/minus drama fantasy tells the story of natalie, whose life, on the eve of her college graduation, diverges into two parallel realities: one in which she becomes pregnant and must navigate motherhood as a young... see full summary » wanuri kahiu luke wilson lili reinhart nia long andrea savage"
The New Legends of Monkey,(2018– ),action adventure comedy,6.5,"Entering the mythical world of the Monkey King, where a young monk and his group of disciples are on a journey to collect scrolls of Buddhist wisdom.","Stars: Chai Hansen, Luciane Buchanan, Josh Thomson, Emilie Cocquerel",3894,24,0.0,2018,,Chai Hansen Luciane Buchanan Josh Thomson Emilie Cocquerel,"the new legends of monkey action adventure comedy entering the mythical world of the monkey king, where a young monk and his group of disciples are on a journey to collect scrolls of buddhist wisdom. chai hansen luciane buchanan josh thomson emilie cocquerel"
Bo Burnham: Make Happy,(2016 TV Special),comedy music,8.4,"Bo Burnham tackles life, death, sexuality, hypocrisy, mental illness and Pringles cans in his dazzling new stand-up special.","Directors: Bo Burnham, Christopher Storer | Star: Bo Burnham",12350,60,0.0,2016,"Bo Burnham, Christopher Storer",Bo Burnham,"bo burnham: make happy comedy music bo burnham tackles life, death, sexuality, hypocrisy, mental illness and pringles cans in his dazzling new stand-up special. bo burnham, christopher storer bo burnham"
Kahaani,(2012),mystery thriller,8.1,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.","Director: Sujoy Ghosh | Stars: Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta, Nawazuddin Siddiqui",59675,122,1040000.0,2012,Sujoy Ghosh,Vidya Balan Parambrata Chattopadhyay Indraneil Sengupta Nawazuddin Siddiqui,"kahaani mystery thriller a pregnant woman's search for her missing husband takes her from london to kolkata, but everyone she questions denies having ever met him. sujoy ghosh vidya balan parambrata chattopadhyay indraneil sengupta nawazuddin siddiqui"
A Babysitter's Guide to Monster Hunting,(2020),comedy family fantasy,5.4,A babysitter embarks on a mission to save a child who's been abducted by monsters.,"Director: Rachel Talalay | Stars: Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson",3434,98,0.0,2020,Rachel Talalay,Tamara Smart Oona Laurence Tom Felton Troy Leigh-Anne Johnson,a babysitter's guide to monster hunting comedy family fantasy a babysitter embarks on a mission to save a child who's been abducted by monsters. rachel talalay tamara smart oona laurence tom felton troy leigh-anne johnson
Pray Away,(2021),documentary,6.2,"Former leaders of the ""pray the gay away"" movement contend with the aftermath unleashed by their actions, while a survivor seeks healing and acceptance from more than a decade of trauma.",Director: Kristine Stolakis,159,101,0.0,2021,,,"pray away documentary former leaders of the ""pray the gay away"" movement contend with the aftermath unleashed by their actions, while a survivor seeks healing and acceptance from more than a decade of trauma."
Haunted,(2018– ),horror reality-tv,4.7,"A chilling glimpse into the first-person accounts from people who have witnessed horrifying, peculiar, extraordinary supernatural events and other unexplained phenomena that continue to haunt them.","Stars: Vanda Chaloupková, Hana Baronová, Vojtech Hýzdal, Janek Gregor",2934,24,0.0,2018,,Vanda Chaloupková Hana Baronová Vojtech Hýzdal Janek Gregor,"haunted horror reality-tv a chilling glimpse into the first-person accounts from people who have witnessed horrifying, peculiar, extraordinary supernatural events and other unexplained phenomena that continue to haunt them. vanda chaloupková hana baronová vojtech hýzdal janek gregor"
Q-Force,(2021– ),animation action adventure,0.0,A handsome secret agent and his team of LGBTQ superspies embark on extraordinary adventures.,"Stars: Gary Cole, David Harbour, Patti Harrison, Sean Hayes",0,30,0.0,2021,,Gary Cole David Harbour Patti Harrison Sean Hayes,q-force animation action adventure a handsome secret agent and his team of lgbtq superspies embark on extraordinary adventures. gary cole david harbour patti harrison sean hayes
Unbreakable Kimmy Schmidt: Kimmy vs the Reverend,(2020 TV Movie),adventure comedy mystery,7.0,"Kimmy sets off on her biggest adventure yet. Three states. Explosions. A dancing hamburger. And you, the viewer, get to decide how the story goes.","Director: Claire Scanlon | Stars: Ellie Kemper, Tituss Burgess, Carol Kane, Jane Krakowski",4302,80,0.0,2020,Claire Scanlon,Ellie Kemper Tituss Burgess Carol Kane Jane Krakowski,"unbreakable kimmy schmidt: kimmy vs the reverend adventure comedy mystery kimmy sets off on her biggest adventure yet. three states. explosions. a dancing hamburger. and you, the viewer, get to decide how the story goes. claire scanlon ellie kemper tituss burgess carol kane jane krakowski"
Arbitrage,(2012),drama thriller,6.6,A troubled hedge fund magnate desperate to complete the sale of his trading empire makes an error that forces him to turn to an unlikely person for help.,"Director: Nicholas Jarecki | Stars: Richard Gere, Susan Sarandon, Brit Marling, Tim Roth",51051,107,7920000.0,2012,Nicholas Jarecki,Richard Gere Susan Sarandon Brit Marling Tim Roth,arbitrage drama thriller a troubled hedge fund magnate desperate to complete the sale of his trading empire makes an error that forces him to turn to an unlikely person for help. nicholas jarecki richard gere susan sarandon brit marling tim roth
A Suitable Boy,(2020– ),drama romance,5.7,"A vast, panoramic tale charting the fortunes of four large families and exploring India and its rich and varied culture at a crucial point in its history.","Stars: Tanya Maniktala, Ishaan Khattar, Mahira Kakkar, Danesh Razvi",4567,60,0.0,2020,,Tanya Maniktala Ishaan Khattar Mahira Kakkar Danesh Razvi,"a suitable boy drama romance a vast, panoramic tale charting the fortunes of four large families and exploring india and its rich and varied culture at a crucial point in its history. tanya maniktala ishaan khattar mahira kakkar danesh razvi"
The Innocents,(2018),drama horror mystery,6.3,"When teenagers Harry and June run away from their repressive families to be together, they're derailed by an extraordinary discovery - June's ability to shape-shift. A scientist tries to capture her and discover the key to her power.","Stars: Sorcha Groundsell, Percelle Ascott, Guy Pearce, Jóhannes Haukur Jóhannesson",5470,60,0.0,2018,,Sorcha Groundsell Percelle Ascott Guy Pearce Jóhannes Haukur Jóhannesson,"the innocents drama horror mystery when teenagers harry and june run away from their repressive families to be together, they're derailed by an extraordinary discovery - june's ability to shape-shift. a scientist tries to capture her and discover the key to her power. sorcha groundsell percelle ascott guy pearce jóhannes haukur jóhannesson"
Premium Rush,(2012),action crime thriller,6.5,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.","Director: David Koepp | Stars: Joseph Gordon-Levitt, Michael Shannon, Dania Ramirez, Sean Kennedy",111533,91,20280000.0,2012,David Koepp,Joseph Gordon-Levitt Michael Shannon Dania Ramirez Sean Kennedy,"premium rush action crime thriller in manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city. david koepp joseph gordon-levitt michael shannon dania ramirez sean kennedy"
La valla,(2020– ),drama sci-fi,6.8,"In 2045, Spain like the rest of the western world has been driven into a dictatorial regime by the lack of natural resources. Life in the countryside is impossible, and in the city a fence divides peoples into the powerful, and the rest.","Stars: Unax Ugalde, Olivia Molina, Eleonora Wexler, Abel Folk",2911,50,0.0,2020,,Unax Ugalde Olivia Molina Eleonora Wexler Abel Folk,"la valla drama sci-fi in 2045, spain like the rest of the western world has been driven into a dictatorial regime by the lack of natural resources. life in the countryside is impossible, and in the city a fence divides peoples into the powerful, and the rest. unax ugalde olivia molina eleonora wexler abel folk"
Champions,(2018),comedy,6.1,Vince is forced to re-think his laid-back lifestyle following an unexpected visit.,"Stars: Anders Holm, Fortune Feimster, Andy Favreau, Josie Totah",3361,30,0.0,2018,,Anders Holm Fortune Feimster Andy Favreau Josie Totah,champions comedy vince is forced to re-think his laid-back lifestyle following an unexpected visit. anders holm fortune feimster andy favreau josie totah
Like Father,(2018),comedy drama,6.1,"After she's left at the altar, a workaholic advertising executive ends up on her Caribbean honeymoon cruise with her estranged father.","Director: Lauren Miller Rogen | Stars: Kristen Bell, Danielle Davenport, Kimiko Glenn, Wynter Kullman",20183,98,0.0,2018,Lauren Miller Rogen,Kristen Bell Danielle Davenport Kimiko Glenn Wynter Kullman,"like father comedy drama after she's left at the altar, a workaholic advertising executive ends up on her caribbean honeymoon cruise with her estranged father. lauren miller rogen kristen bell danielle davenport kimiko glenn wynter kullman"
Pretend It's a City,(2021),documentary biography comedy,8.1,"Wander the New York City streets and fascinating mind of wry writer, humorist and raconteur Fran Lebowitz as she sits down with Martin Scorsese.","Stars: Fran Lebowitz, Martin Scorsese, Michael Alexis Palmer, Alec Baldwin",5915,203,0.0,2021,,Fran Lebowitz Martin Scorsese Michael Alexis Palmer Alec Baldwin,"pretend it's a city documentary biography comedy wander the new york city streets and fascinating mind of wry writer, humorist and raconteur fran lebowitz as she sits down with martin scorsese. fran lebowitz martin scorsese michael alexis palmer alec baldwin"
Ask-i Memnu,(2008–2010),drama romance,7.4,"Having lost his wife eleven years ago, Adnan devoted all his attention to his daughter Nihal and his son Bülent. Adnan, who lives in one of the most prominent mansions along the Bosporus in... See full summary »","Stars: Beren Saat, Kivanç Tatlitug, Nebahat Çehre, Hazal Kaya",12276,90,0.0,2008,,Beren Saat Kivanç Tatlitug Nebahat Çehre Hazal Kaya,"ask-i memnu drama romance having lost his wife eleven years ago, adnan devoted all his attention to his daughter nihal and his son bülent. adnan, who lives in one of the most prominent mansions along the bosporus in... see full summary » beren saat kivanç tatlitug nebahat çehre hazal kaya"
La vita davanti a sé,(2020),drama,6.8,"In seaside Italy, a Holocaust survivor with a daycare business takes in a 12-year-old street kid who recently robbed her.","Director: Edoardo Ponti | Stars: Sophia Loren, Ibrahima Gueye, Renato Carpentieri, Iosif Diego Pirvu",12655,94,0.0,2020,Edoardo Ponti,Sophia Loren Ibrahima Gueye Renato Carpentieri Iosif Diego Pirvu,"la vita davanti a sé drama in seaside italy, a holocaust survivor with a daycare business takes in a 12-year-old street kid who recently robbed her. edoardo ponti sophia loren ibrahima gueye renato carpentieri iosif diego pirvu"
Yummy,(2019),action comedy horror,5.9,"An orgy of blood, violence and fun in which a young couple travel to a shabby Eastern European hospital for plastic surgery. Once there things unravel.","Director: Lars Damoiseaux | Stars: Maaike Neuville, Bart Hollanders, Benjamin Ramon, Clara Cleymans",4301,88,0.0,2019,Lars Damoiseaux,Maaike Neuville Bart Hollanders Benjamin Ramon Clara Cleymans,"yummy action comedy horror an orgy of blood, violence and fun in which a young couple travel to a shabby eastern european hospital for plastic surgery. once there things unravel. lars damoiseaux maaike neuville bart hollanders benjamin ramon clara cleymans"
My Babysitter's a Vampire,(2011–2012),action comedy fantasy,7.1,"Ethan Morgan, his half-vampire babysitter and pals battle against creatures from their nightmares.","Stars: Matthew Knight, Vanessa Morgan, Atticus Mitchell, Cameron Kennedy",3986,22,0.0,2011,,Matthew Knight Vanessa Morgan Atticus Mitchell Cameron Kennedy,"my babysitter's a vampire action comedy fantasy ethan morgan, his half-vampire babysitter and pals battle against creatures from their nightmares. matthew knight vanessa morgan atticus mitchell cameron kennedy"
Day Shift,,comedy fantasy,0.0,"A hard-working, blue-collar dad who just wants to provide a good life for his quick-witted 8-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.","Director: J.J. Perry | Stars: Steve Howey, Jamie Foxx, Scott Adkins, Dave Franco",0,0,0.0,0,J.J. Perry,Steve Howey Jamie Foxx Scott Adkins Dave Franco,"day shift comedy fantasy a hard-working, blue-collar dad who just wants to provide a good life for his quick-witted 8-year-old daughter. his mundane san fernando valley pool cleaning job is a front for his real source of income: hunting and killing vampires. j.j. perry steve howey jamie foxx scott adkins dave franco"
Tramps,(2016),adventure romance,6.5,A young man and woman find love in an unlikely place while carrying out a shady deal.,"Director: Adam Leon | Stars: Callum Turner, Grace Van Patten, Michal Vondel, Mike Birbiglia",5016,82,0.0,2016,Adam Leon,Callum Turner Grace Van Patten Michal Vondel Mike Birbiglia,tramps adventure romance a young man and woman find love in an unlikely place while carrying out a shady deal. adam leon callum turner grace van patten michal vondel mike birbiglia
Unité 42,(2017– ),crime drama thriller,7.0,"While having to raise his three children on his own, Inspector Sam Leroy joins Brussels' Cyber Crime Unit. Confronted with new codes, he must collaborate with Billie Vebber, a former hacker who covertly pursues objectives of her own.","Stars: Patrick Ridremont, Constance Gay, Tom Audenaert, Roda Fawaz",1997,52,0.0,2017,,Patrick Ridremont Constance Gay Tom Audenaert Roda Fawaz,"unité 42 crime drama thriller while having to raise his three children on his own, inspector sam leroy joins brussels' cyber crime unit. confronted with new codes, he must collaborate with billie vebber, a former hacker who covertly pursues objectives of her own. patrick ridremont constance gay tom audenaert roda fawaz"
Why Are You Like This?,(2018– ),comedy,6.5,"Best friends Penny and Mia set out to right all that's wrong with the world, blissfully ignorant of how many people they torment along the way.","Stars: Naomi Higgins, Olivia Junkeer, Wil King, Lawrence Leung",1142,0,0.0,2018,,Naomi Higgins Olivia Junkeer Wil King Lawrence Leung,"why are you like this? comedy best friends penny and mia set out to right all that's wrong with the world, blissfully ignorant of how many people they torment along the way. naomi higgins olivia junkeer wil king lawrence leung"
Gedo senki,(2006),animation adventure fantasy,6.4,"In a mythical land, a man and a young boy investigate a series of unusual occurrences.","Director: Gorô Miyazaki | Stars: Timothy Dalton, Willem Dafoe, Mariska Hargitay, Jun'ichi Okada",37082,115,50000.0,2006,Gorô Miyazaki,Timothy Dalton Willem Dafoe Mariska Hargitay Jun'ichi Okada,"gedo senki animation adventure fantasy in a mythical land, a man and a young boy investigate a series of unusual occurrences. gorô miyazaki timothy dalton willem dafoe mariska hargitay jun'ichi okada"
Gekijouban Bishoujo Senshi Sailor Moon Eternal,(2021),animation action adventure,7.1,"When a dark power enshrouds the Earth after a total solar eclipse, the scattered Sailor Guardians must reunite to bring light back into the world.","Director: Chiaki Kon | Stars: Kotono Mitsuishi, Stephanie Sheh, Kate Higgins, Cristina Valenzuela",932,160,0.0,2021,Chiaki Kon,Kotono Mitsuishi Stephanie Sheh Kate Higgins Cristina Valenzuela,"gekijouban bishoujo senshi sailor moon eternal animation action adventure when a dark power enshrouds the earth after a total solar eclipse, the scattered sailor guardians must reunite to bring light back into the world. chiaki kon kotono mitsuishi stephanie sheh kate higgins cristina valenzuela"
Homunculus,(2021),drama fantasy mystery,5.6,Truth and illusion blurs when a homeless amnesiac awakens from an experimental medical procedure with the ability to see people's innermost traumas.,"Director: Takashi Shimizu | Stars: Gô Ayano, Edward Bosco, Amber Lee Connors, Lucien Dodge",1819,115,0.0,2021,Takashi Shimizu,Gô Ayano Edward Bosco Amber Lee Connors Lucien Dodge,homunculus drama fantasy mystery truth and illusion blurs when a homeless amnesiac awakens from an experimental medical procedure with the ability to see people's innermost traumas. takashi shimizu gô ayano edward bosco amber lee connors lucien dodge
We Have A Ghost,,adventure family horror,0.0,A man claims to have befriended a mostly harmless ghost who bears a likeness to the actor Ernest Borgnine and becomes famous on the Internet.,"Director: Christopher Landon | Stars: David Harbour, Jennifer Coolidge, Anthony Mackie, Tig Notaro",0,0,0.0,0,Christopher Landon,David Harbour Jennifer Coolidge Anthony Mackie Tig Notaro,we have a ghost adventure family horror a man claims to have befriended a mostly harmless ghost who bears a likeness to the actor ernest borgnine and becomes famous on the internet. christopher landon david harbour jennifer coolidge anthony mackie tig notaro
The Painted Veil,(2006),drama romance,7.5,"A British medical doctor fights a cholera epidemic in a small Chinese village, while being trapped at home in a loveless marriage to an unfaithful wife.","Director: John Curran | Stars: Naomi Watts, Edward Norton, Liev Schreiber, Catherine An",90212,125,8060000.000000001,2006,John Curran,Naomi Watts Edward Norton Liev Schreiber Catherine An,"the painted veil drama romance a british medical doctor fights a cholera epidemic in a small chinese village, while being trapped at home in a loveless marriage to an unfaithful wife. john curran naomi watts edward norton liev schreiber catherine an"
Enola Holmes 2,,action adventure crime,0.0,Sequel of Sherlock Holmes' rebellious teen sister Enola.,"Director: Harry Bradbeer | Stars: Millie Bobby Brown, Henry Cavill",0,0,0.0,0,Harry Bradbeer,Millie Bobby Brown Henry Cavill,enola holmes 2 action adventure crime sequel of sherlock holmes' rebellious teen sister enola. harry bradbeer millie bobby brown henry cavill
Beirut,(2018),action crime drama,6.5,"Caught in the crossfires of civil war, CIA operatives must send a former U.S. diplomat to negotiate for the life of a friend he left behind.","Director: Brad Anderson | Stars: Jon Hamm, Jay Potter, Khalid Benchagra, Ania Josse",20085,110,5020000.0,2018,Brad Anderson,Jon Hamm Jay Potter Khalid Benchagra Ania Josse,"beirut action crime drama caught in the crossfires of civil war, cia operatives must send a former u.s. diplomat to negotiate for the life of a friend he left behind. brad anderson jon hamm jay potter khalid benchagra ania josse"
Teströl és lélekröl,(2017),drama fantasy mystery,7.6,"When slaughterhouse workers Endre and Mária discover they share the same dreams, where they meet in a forest as deer and fall in love, they decide to make their dreams come true, but it's difficult in real life.","Director: Ildikó Enyedi | Stars: Alexandra Borbély, Géza Morcsányi, Réka Tenki, Zoltán Schneider",25551,116,0.0,2017,Ildikó Enyedi,Alexandra Borbély Géza Morcsányi Réka Tenki Zoltán Schneider,"teströl és lélekröl drama fantasy mystery when slaughterhouse workers endre and mária discover they share the same dreams, where they meet in a forest as deer and fall in love, they decide to make their dreams come true, but it's difficult in real life. ildikó enyedi alexandra borbély géza morcsányi réka tenki zoltán schneider"
An Interview with God,(2018),drama mystery,5.8,An up-and-coming journalist finds his world and faith increasingly challenged when he's granted the interview of a lifetime - with someone who claims to be God.,"Director: Perry Lang | Stars: David Strathairn, Brenton Thwaites, Yael Grobglas, Charlbi Dean",3470,97,1250000.0,2018,Perry Lang,David Strathairn Brenton Thwaites Yael Grobglas Charlbi Dean,an interview with god drama mystery an up-and-coming journalist finds his world and faith increasingly challenged when he's granted the interview of a lifetime - with someone who claims to be god. perry lang david strathairn brenton thwaites yael grobglas charlbi dean
Sangre en la boca,(2016),drama sport,5.6,"Ramón Alvia is a professional boxer who, although he has won several international championships, is old and is at the end of his career. He resists. In the gym, Ramon discovers among the young boxers Deborah, a beautiful girl.","Director: Hernán Belón | Stars: Leonardo Sbaraglia, Eva De Dominici, Érica Bianchi, Osmar Núñez",647,97,0.0,2016,Hernán Belón,Leonardo Sbaraglia Eva De Dominici Érica Bianchi Osmar Núñez,"sangre en la boca drama sport ramón alvia is a professional boxer who, although he has won several international championships, is old and is at the end of his career. he resists. in the gym, ramon discovers among the young boxers deborah, a beautiful girl. hernán belón leonardo sbaraglia eva de dominici érica bianchi osmar núñez"
Luis Miguel: La Serie,(2018– ),biography drama history,8.0,"The series dramatizes the life story of Mexican superstar singer Luis Miguel, who has captivated audiences in Latin America and beyond for decades.","Stars: Diego Boneta, Gabriel Nuncio, César Bordón, Cesar Santana",3695,60,0.0,2018,,Diego Boneta Gabriel Nuncio César Bordón Cesar Santana,"luis miguel: la serie biography drama history the series dramatizes the life story of mexican superstar singer luis miguel, who has captivated audiences in latin america and beyond for decades. diego boneta gabriel nuncio césar bordón cesar santana"
Jamtara: Sabka Number Ayega,(2020– ),crime,7.3,"A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme -- and a cop wants to fight it.","Stars: Amit Sial, Dibyendu Bhattacharya, Aksha Pardasany, Sparsh Srivastav",5236,29,0.0,2020,,Amit Sial Dibyendu Bhattacharya Aksha Pardasany Sparsh Srivastav,"jamtara: sabka number ayega crime a group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme -- and a cop wants to fight it. amit sial dibyendu bhattacharya aksha pardasany sparsh srivastav"
Article 15,(2019),crime drama mystery,8.2,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.","Director: Anubhav Sinha | Stars: Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra",26537,130,0.0,2019,Anubhav Sinha,Ayushmann Khurrana Nassar Manoj Pahwa Kumud Mishra,"article 15 crime drama mystery in the rural heartlands of india, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination. anubhav sinha ayushmann khurrana nassar manoj pahwa kumud mishra"
Return to Sender,(I) (2015),drama thriller,5.1,A nurse living in small town goes on a blind date with a man who is not the person he says he is.,"Director: Fouad Mikati | Stars: Rosamund Pike, Shiloh Fernandez, Nick Nolte, Camryn Manheim",12670,92,0.0,2015,Fouad Mikati,Rosamund Pike Shiloh Fernandez Nick Nolte Camryn Manheim,return to sender drama thriller a nurse living in small town goes on a blind date with a man who is not the person he says he is. fouad mikati rosamund pike shiloh fernandez nick nolte camryn manheim
Degrassi: Next Class,(2016–2017),drama romance,6.9,"Degrassi: Next Class follows the lives of the students from Degrassi Community School, a fictional high school in Toronto.","Stars: Na'ku'set Gould, Amanda Arcuri, Sara Waisglass, Ehren Kassam",2876,30,0.0,2016,,Na'ku'set Gould Amanda Arcuri Sara Waisglass Ehren Kassam,"degrassi: next class drama romance degrassi: next class follows the lives of the students from degrassi community school, a fictional high school in toronto. na'ku'set gould amanda arcuri sara waisglass ehren kassam"
Hoops,(2020),animation comedy sport,6.0,"Centers on a hot-headed, foul-mouthed high school basketball coach who thinks turning around his godawful team will take him to the ""big leagues.""","Stars: Jake Johnson, Ron Funches, Cleo King, Natasha Leggero",4896,25,0.0,2020,,Jake Johnson Ron Funches Cleo King Natasha Leggero,"hoops animation comedy sport centers on a hot-headed, foul-mouthed high school basketball coach who thinks turning around his godawful team will take him to the ""big leagues."" jake johnson ron funches cleo king natasha leggero"
Sangsogjadeul,(2013),comedy drama romance,7.5,"After a chance encounter in LA, two teens from different social backgrounds reunite at an exclusive high school attended by Korea's über rich.","Stars: Lee Min-Ho, Park Shin-Hye, Woo-bin Kim, Kim Ji-Won",8525,55,0.0,2013,,Lee Min-Ho Park Shin-Hye Woo-bin Kim Kim Ji-Won,"sangsogjadeul comedy drama romance after a chance encounter in la, two teens from different social backgrounds reunite at an exclusive high school attended by korea's über rich. lee min-ho park shin-hye woo-bin kim kim ji-won"
