MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,release_year,DIRECTOR,ACTORS,combined_features
Metal Lords,(2021),drama music,0.0,Two friends try to form a heavy metal band with a cellist for the Battle of the Bands.,"Director: Peter Sollett | Stars: Jaeden Martell, Brett Gelman, Sufe Bradshaw, Isis Hainsworth",0,0,0.0,2021,Peter Sollett,Jaeden Martell Brett Gelman Sufe Bradshaw Isis Hainsworth,metal lords drama music two friends try to form a heavy metal band with a cellist for the battle of the bands. peter sollett jaeden martell brett gelman sufe bradshaw isis hainsworth
You Are My Home,(2020),animation family fantasy,6.5,"This drama follows the relationship of a heartbroken woman and a young immigrant girl who has lost her mother at the border, coming together just before Christmas.","Director: Amanda Raymond | Stars: Alyssa Milano, Cristián de la Fuente, Angel Parker, Eva Ariel Binder",375,92,0.0,2020,Amanda Raymond,Alyssa Milano Cristián de la Fuente Angel Parker Eva Ariel Binder,"you are my home animation family fantasy this drama follows the relationship of a heartbroken woman and a young immigrant girl who has lost her mother at the border, coming together just before christmas. amanda raymond alyssa milano cristián de la fuente angel parker eva ariel binder"
Lockwood & Co,,action adventure drama,0.0,"A tiny startup, run by two teenage boys and a newly arrived, supremely psychically gifted girl, a renegade trio destined to unravel a mystery that will change the course of history.",,0,60,0.0,0,,,"lockwood & co action adventure drama a tiny startup, run by two teenage boys and a newly arrived, supremely psychically gifted girl, a renegade trio destined to unravel a mystery that will change the course of history."
Advantageous,(2015),drama family sci-fi,6.2,"In a near-future city where soaring opulence overshadows economic hardship, Gwen and her daughter Jules do all they can to hold on to their joy together, despite the instability surfacing in their world.","Director: Jennifer Phang | Stars: Jacqueline Kim, James Urbaniak, Freya Adams, Ken Jeong",5140,90,0.0,2015,Jennifer Phang,Jacqueline Kim James Urbaniak Freya Adams Ken Jeong,"advantageous drama family sci-fi in a near-future city where soaring opulence overshadows economic hardship, gwen and her daughter jules do all they can to hold on to their joy together, despite the instability surfacing in their world. jennifer phang jacqueline kim james urbaniak freya adams ken jeong"
Annyeong? Naya!,(2021– ),comedy fantasy romance,7.2,"Miserable and unsuccessful, a woman thinks she's lost all her spark, until one day, her spunky younger self appears in front of her demanding change.","Stars: Kang-hee Choi, Kim Young-kwang, Re Lee, Eum Moon Suk",344,65,0.0,2021,,Kang-hee Choi Kim Young-kwang Re Lee Eum Moon Suk,"annyeong? naya! comedy fantasy romance miserable and unsuccessful, a woman thinks she's lost all her spark, until one day, her spunky younger self appears in front of her demanding change. kang-hee choi kim young-kwang re lee eum moon suk"
Opening Night,(II) (2016),comedy musical,6.0,A failed Broadway singer who now works as a production manager must save opening night on his new production by wrangling his eccentric cast and crew.,"Director: Isaac Rentz | Stars: Lauren Lapkus, Alona Tal, Topher Grace, Anne Heche",2458,90,0.0,2016,Isaac Rentz,Lauren Lapkus Alona Tal Topher Grace Anne Heche,opening night comedy musical a failed broadway singer who now works as a production manager must save opening night on his new production by wrangling his eccentric cast and crew. isaac rentz lauren lapkus alona tal topher grace anne heche
Berserk: Ougon jidai-hen II - Dorudorei koryaku,(2012),animation action adventure,7.8,"For three years, Guts believed his mission was to pursue Griffith's dream together with him. But in order to become Griffith's equal and truly be called his friend, Guts realizes he will ... See full summary »","Director: Toshiyuki Kubooka | Stars: Carrie Keranen, Orion Acaba, Chris Jai Alex, G.K. Bowes",9421,95,0.0,2012,Toshiyuki Kubooka,Carrie Keranen Orion Acaba Chris Jai Alex G.K. Bowes,"berserk: ougon jidai-hen ii - dorudorei koryaku animation action adventure for three years, guts believed his mission was to pursue griffith's dream together with him. but in order to become griffith's equal and truly be called his friend, guts realizes he will ... see full summary » toshiyuki kubooka carrie keranen orion acaba chris jai alex g.k. bowes"
Well-Intended Love,(2019–2020),drama romance,7.3,A third-rate actress with leukemia got married to the powerful CEO of a company because she needs him to receive a bone marrow transplant so she can continue her career.,"Stars: Xu Kai Cheng, Liu Jia Xi, Huang Qian Shuo, Wang Shuang",1184,45,0.0,2019,,Xu Kai Cheng Liu Jia Xi Huang Qian Shuo Wang Shuang,well-intended love drama romance a third-rate actress with leukemia got married to the powerful ceo of a company because she needs him to receive a bone marrow transplant so she can continue her career. xu kai cheng liu jia xi huang qian shuo wang shuang
Stalked by My Doctor,(2015 TV Movie),thriller,5.5,A doctor's obsession with a teenage patient turns violent and dangerous.,"Director: Doug Campbell | Stars: Eric Roberts, Brianna Joy Chomer, Deborah Zoe, Jon Briddell",1462,88,0.0,2015,Doug Campbell,Eric Roberts Brianna Joy Chomer Deborah Zoe Jon Briddell,stalked by my doctor thriller a doctor's obsession with a teenage patient turns violent and dangerous. doug campbell eric roberts brianna joy chomer deborah zoe jon briddell
"Hi Bye, Mama!",(2020– ),comedy drama fantasy,8.0,It's the story of a mother who died and begins a 49-day long project of reincarnation and a husband who has barely begun to live a new life after overcoming the pain of losing his wife.,"Stars: Kim Tae-hee, Kyoo-hyung Lee, Ko Bo-Gyeol, Seo Woo-Jin",1215,70,0.0,2020,,Kim Tae-hee Kyoo-hyung Lee Ko Bo-Gyeol Seo Woo-Jin,"hi bye, mama! comedy drama fantasy it's the story of a mother who died and begins a 49-day long project of reincarnation and a husband who has barely begun to live a new life after overcoming the pain of losing his wife. kim tae-hee kyoo-hyung lee ko bo-gyeol seo woo-jin"
